AccountID,ClientName,ProjectManager,TotalReceivables,Current,Days30,Days60,Days90,Over90,HighRiskAmount,AgingPercentage,Status,Priority
ACC001,Acme Corp,John Smith,150000,120000,20000,8000,2000,0,0,0.00,Good,Low
ACC002,TechStart Inc,Sarah Johnson,300000,250000,35000,10000,5000,0,0,0.00,Good,Low
ACC003,Global Trade LLC,Michael Williams,220000,180000,25000,10000,5000,0,0,0.00,Good,Low
ACC004,DataFlow Systems,Emily Brown,380000,320000,40000,15000,5000,0,0,0.00,Good,Low
ACC005,Manufacturing Co,David Jones,500000,400000,60000,25000,10000,5000,15000,3.00,Moderate,Medium
ACC006,FinSecure Bank,Lisa Garcia,115000,95000,15000,3000,2000,0,0,0.00,Good,Low
ACC007,Retail Giant,Robert Martinez,420000,350000,45000,15000,8000,2000,10000,2.38,Moderate,Medium
ACC008,AdVenture Agency,Jennifer Rodriguez,175000,145000,20000,7000,3000,0,0,0.00,Good,Low
ACC009,BuildRight Construction,William Davis,650000,520000,80000,30000,15000,5000,20000,3.08,Moderate,Medium
ACC010,Customer First,Amanda Miller,135000,110000,18000,5000,2000,0,0,0.00,Good,Low
ACC011,ConnectCorp,James Wilson,240000,200000,28000,8000,4000,0,0,0.00,Good,Low
ACC012,InfoSystems Ltd,Mary Moore,210000,170000,25000,10000,5000,0,0,0.00,Good,Low
ACC013,DevOps Solutions,Christopher Taylor,165000,135000,20000,7000,3000,0,0,0.00,Good,Low
ACC014,Analytics Pro,Patricia Anderson,350000,290000,40000,15000,5000,0,0,0.00,Good,Low
ACC015,SecureData Inc,Daniel Thomas,155000,125000,20000,7000,3000,0,0,0.00,Good,Low
ACC016,EducatePlus,Linda Jackson,200000,160000,25000,10000,5000,0,0,0.00,Good,Low
ACC017,LogisticsPro,Matthew White,500000,410000,55000,20000,12000,3000,15000,3.00,Moderate,Medium
ACC018,FinTech Innovations,Barbara Harris,235000,195000,28000,8000,4000,0,0,0.00,Good,Low
ACC019,SmartDevices Co,Joseph Martin,575000,475000,60000,25000,12000,3000,15000,2.61,Moderate,Medium
ACC020,Metrics Matter,Susan Thompson,105000,85000,15000,3000,2000,0,0,0.00,Good,Low
ACC021,StockMaster,Thomas Garcia,260000,215000,30000,10000,5000,0,0,0.00,Good,Low
ACC022,PeopleFirst,Jessica Martinez,330000,270000,40000,15000,5000,0,0,0.00,Good,Low
ACC023,PaperLess Solutions,Charles Robinson,180000,150000,20000,7000,3000,0,0,0.00,Good,Low
ACC024,MeetUp Tech,Karen Clark,155000,125000,20000,7000,3000,0,0,0.00,Good,Low
ACC025,TestRight,Anthony Rodriguez,240000,195000,30000,10000,5000,0,0,0.00,Good,Low
ACC026,RegTech Systems,Nancy Lewis,200000,120000,40000,25000,10000,5000,40000,20.00,High Risk,High
ACC027,BuyWise,Mark Lee,285000,235000,35000,10000,5000,0,0,0.00,Good,Low
ACC028,ClientConnect,Betty Walker,225000,185000,28000,8000,4000,0,0,0.00,Good,Low
ACC029,TrackIT Solutions,Paul Hall,190000,155000,25000,7000,3000,0,0,0.00,Good,Low
ACC030,MetricsPro,Helen Allen,320000,265000,35000,12000,8000,0,0,0.00,Good,Low
ACC031,ConnectAll,Jason Young,360000,295000,42000,15000,8000,0,0,0.00,Good,Low
ACC032,AutoFlow,Deborah Hernandez,215000,175000,28000,8000,4000,0,0,0.00,Good,Low
ACC033,DataViz Inc,Ryan King,180000,145000,25000,7000,3000,0,0,0.00,Good,Low
ACC034,MailMaster,Sandra Kim,120000,98000,15000,5000,2000,0,0,0.00,Good,Low
ACC035,SocialHub,Kevin Park,145000,118000,20000,5000,2000,0,0,0.00,Good,Low
ACC036,ContentKing,Laura Chen,250000,205000,30000,10000,5000,0,0,0.00,Good,Low
ACC037,ShopNow,Michael Lee,500000,410000,55000,20000,12000,3000,15000,3.00,Moderate,Medium
ACC038,BookIt,Emma Wilson,205000,168000,25000,8000,4000,0,0,0.00,Good,Low
ACC039,FeedbackPro,Oliver Brown,120000,98000,15000,5000,2000,0,0,0.00,Good,Low
ACC040,EduTech Solutions,Sophia Davis,390000,320000,45000,15000,10000,0,0,0.00,Good,Low
